id,name,author,title,description,url,urlToImage,publishedAt,content
associated-press,Associated Press,MARK SHERMAN,"The Supreme Court weakens federal regulators, overturning decades-old Chevron decision - The Associated Press","The Supreme Court has upended a 40-year-old decision that made it easier for the federal government to regulate the environment, public health, workplace safety and consumer protections. The court Friday delivered a far-reaching and potentially lucrative vict…",https://apnews.com/article/supreme-court-chevron-regulations-environment-5173bc83d3961a7aaabe415ceaf8d665,https://dims.apnews.com/dims4/default/cf6b607/2147483647/strip/true/crop/5813x3270+0+303/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F51%2F3f%2F6f0378b6dd9a5236d979f8a34b27%2F28e6b41976cf49d89f356914c289d771,2024-06-28T14:26:00Z,"WASHINGTON (AP) The Supreme Court on Friday upended a 40-year-old decision that made it easier for the federal government to regulate the environment, public health, workplace safety and consumer pro… [+5733 chars]"
,Yahoo Entertainment,,Stock market today: Stocks rise as key Fed-watched inflation data keeps cooling - Yahoo Finance,,https://finance.yahoo.com/news/stock-market-today-stocks-rise-as-key-fed-watched-inflation-data-keeps-cooling-133047911.html,,2024-06-28T14:24:46Z,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]"
google-news,Google News,The New York Times,Iowa Supreme Court Allows Six-Week Abortion Ban to Take Effect - The New York Times,,https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDYvMjgvdXMvaW93YS1zdXByZW1lLWNvdXJ0LWFib3J0aW9uLWJhbi5odG1s0gEA?oc=5,,2024-06-28T14:13:15Z,
the-washington-post,The Washington Post,"Anant Gupta, Karishma Mehrotra",Delhi airport roof collapse from monsoon crushes cars - The Washington Post,India has seen an infrastructure boom to meet rising demands for transportation but there have been criticisms about poor maintenance and oversight of building.,https://www.washingtonpost.com/world/2024/06/28/india-delhi-airport-roof-collapse/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/2UQDDUR24AO33V4CZFNPUE32AM_size-normalized.jpg&w=1440,2024-06-28T14:05:16Z,"NEW DELHI Heavy monsoon rains in the Indian capital of New Delhi brought part of the airport terminal roof crashing down on parked cars, killing at least one person and injuring eight others, accordi… [+3824 chars]"
,Barron's,Nicholas Jasinski,"PCE Inflation Report Today: Headline, Core Prices Cool - Barron's","The personal-consumption expenditures, or PCE, price index for May is out.",https://www.barrons.com/livecoverage/may-pce-inflation-report-data-today,https://images.barrons.com/im-50389545/social,2024-06-28T13:41:00Z,"Economists and analysts characterized the May inflation data as a step in the right direction, with prices virtually unchanged during the month.
The personal-consumption expenditures price index, pu… [+2801 chars]"
,Yahoo Entertainment,Josh Schafer,Nike stock sinks after company projects larger sales decline than expected in 2025 - Yahoo Finance,Nike's earnings report comes as the stock has slumped over the past year amid slowing sales growth.,https://finance.yahoo.com/news/nike-stock-sinks-after-company-projects-larger-sales-decline-than-expected-in-2025-192129443.html,https://s.yimg.com/ny/api/res/1.2/gviD9OKnqYUEXg2oJBeSAw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD03OTI-/https://s.yimg.com/os/creatr-uploaded-images/2024-06/ee9b90a0-33e3-11ef-a3e1-98108904e31f,2024-06-28T13:34:12Z,"Nike (NKE) stock fell as much as 17% on Friday after the retailer said it expects revenue to decline more than previously thought in the coming year.
The company said Thursday it expects revenue to … [+2922 chars]"
,CBS Sports,,"2024 NBA Draft grades: Complete pick-by-pick analysis for Rounds 1, 2 from Zaccharie Risacher to Bronny James - CBS Sports",The drama at the 2024 NBA Draft required a second day for completion,https://www.cbssports.com/nba/news/2024-nba-draft-grades-complete-pick-by-pick-analysis-for-rounds-1-and-2-from-zaccharie-risacher-to-bronny-james/,https://sportshub.cbsistatic.com/i/r/2024/06/27/0f4eab41-e53b-48bd-af18-80669cff747e/thumbnail/1200x675/6cc4449bfe45fe138f98b292cbee8817/gettyimages-2159571706.jpg,2024-06-28T13:09:00Z,"The first two-day NBA Draft in history is in the books. After Wednesday night's Round 1 gave us some surprises, some trades and some Lakers buzz, Thursday night's Round 2 promised even more of all of… [+24563 chars]"
,NBCSports.com,Mike Florio,NFL has ongoing legal exposure to Sunday Ticket antitrust violations - NBC Sports,When the U.S.,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/nfl-has-ongoing-legal-exposure-to-sunday-ticket-antitrust-violations,https://nbcsports.brightspotcdn.com/dims4/default/9a998e2/2147483647/strip/true/crop/4000x2250+0+208/resize/1440x810!/quality/90/?url=https%3A%2F%2Fnbc-sports-production-nbc-sports.s3.us-east-1.amazonaws.com%2Fbrightspot%2F1d%2Fe5%2Ffddc14d6428587ecae32666ac419%2Fhttps-delivery-gettyimages.com%2Fdownloads%2F1767111267,2024-06-28T13:07:14Z,"When the U.S. Supreme Court decided the Alston case in June 2021, the NCAA scrambled to limit potential liability arising from the longstanding ban on athletes making money from the names, images, an… [+1852 chars]"
,Space.com,Mike Wall,SpaceX to launch 2nd batch of next-gen US spy satellites tonight - Space.com,Liftoff of the NROL-186 mission is scheduled for 11:14 p.m. ET tonight (June 28).,https://www.space.com/spacex-nrol-186-spy-satellite-launch,https://cdn.mos.cms.futurecdn.net/KhKvSbSb7KhcT2fZn2E8Dj-1200-80.jpg,2024-06-28T13:00:25Z,"SpaceX is set to launch another set of U.S. spy satellites tonight (June 28).
A Falcon 9 rocket carrying payloads for the National Reconnaissance Office (NRO) is scheduled to lift off from Californi… [+2208 chars]"
cnn,CNN,"Eric Bradner, Daniel Strauss, Steve Contorno, Arit John, Gregory Krieg",Takeaways from CNN’s presidential debate with Biden and Trump - CNN,Takeaways from CNN’s presidential debate with Biden and Trump,https://www.cnn.com/2024/06/27/politics/takeaways-biden-trump-debate/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/c-wl2-0386.jpg?c=16x9&q=w_800,c_fill",2024-06-28T12:46:00Z,"President Joe Biden is three years and seven months older than former President Donald Trump.
In their debate Thursday night on CNN, the gap between the 81-year-old incumbent and his 78-year-old cha… [+16846 chars]"
